subject_id,predicate,object_id,object_value
c/s/default,typeOf,Source,
c/s/default,name,,Custom Data Commons
c/s/1,typeOf,Source,
c/s/1,name,,Source1 Name
c/s/1,url,,http://source1.com
c/s/1,domain,,source1.com
c/p/1,typeOf,Provenance,
c/p/1,name,,Provenance1 Name
c/p/1,source,c/s/1,
c/p/1,url,,http://source1.com/provenance1
c/p/2,typeOf,Provenance,
c/p/2,name,,Provenance2 Name
c/p/2,source,c/s/1,
c/p/2,url,,http://source1.com/provenance2
custom/g/group_1,typeOf,StatVarGroup,
custom/g/group_1,name,,Parent Group
custom/g/group_1,specializationOf,dc/g/Root,
custom/g/group_1,includedIn,c/p/1,
custom/g/group_1,includedIn,c/p/2,
custom/g/group_1,includedIn,c/s/1,
custom/g/group_2,typeOf,StatVarGroup,
custom/g/group_2,name,,Child Group 1
custom/g/group_2,specializationOf,custom/g/group_1,
custom/g/group_2,includedIn,c/p/1,
custom/g/group_2,includedIn,c/p/2,
custom/g/group_2,includedIn,c/s/1,
custom/g/group_3,typeOf,StatVarGroup,
custom/g/group_3,name,,Child Group 2
custom/g/group_3,specializationOf,custom/g/group_1,
custom/g/group_3,includedIn,c/p/1,
custom/g/group_3,includedIn,c/p/2,
custom/g/group_3,includedIn,c/s/1,
custom/g/Root,typeOf,StatVarGroup,
custom/g/Root,name,,Custom Variables
custom/g/Root,specializationOf,dc/g/Root,
var1,typeOf,StatisticalVariable,
var1,name,,Good var1 name
var1,description,,Good var1 description
var1,memberOf,custom/g/group_2,
var1,includedIn,c/p/1,
var1,includedIn,c/p/2,
var1,includedIn,c/s/1,
var2,typeOf,StatisticalVariable,
var2,name,,Good var2 name
var2,memberOf,custom/g/group_3,
var2,includedIn,c/p/1,
var2,includedIn,c/p/2,
var2,includedIn,c/s/1,
custom/statvar_1,typeOf,StatisticalVariable,
custom/statvar_1,name,,Variable 1
custom/statvar_1,memberOf,custom/g/group_1,
custom/statvar_1,includedIn,c/p/1,
custom/statvar_1,includedIn,c/s/1,
custom/statvar_2,typeOf,StatisticalVariable,
custom/statvar_2,name,,Variable 2
custom/statvar_2,memberOf,custom/g/Root,
custom/statvar_2,includedIn,c/p/1,
custom/statvar_2,includedIn,c/s/1,
country/AFG,typeOf,Country,
country/YEM,typeOf,Country,
country/AGO,typeOf,Country,
country/ZMB,typeOf,Country,
country/ZWE,typeOf,Country,
country/ALB,typeOf,Country,
wikidataId/Q22062741,typeOf,Country,
country/DZA,typeOf,Country,
country/AND,typeOf,Country,
country/ASM,typeOf,Country,
country/AIA,typeOf,Country,
country/WLF,typeOf,Country,
country/ESH,typeOf,Country,
country/USA,typeOf,Country,
country/IND,typeOf,Country,
dc/000qxlm93vn93,typeOf,PowerPlant,
dc/5c7tz3lbln3p,typeOf,PowerPlant,
dc/8zmh7ctlkbsc4,typeOf,PowerPlant,
dc/2ysvc67fk1162,typeOf,PowerPlant,
dc/00w9rbw8yn7x7,typeOf,PowerPlant,
dc/00zjgb4rjchx3,typeOf,PowerPlant,
dc/011s19rm0mzh1,typeOf,PowerPlant,
dc/017y3py1dzkmg,typeOf,PowerPlant,
dc/4359q0h458f01,typeOf,PowerPlant,
dc/3kds7zgl4wz26,typeOf,PowerPlant,
dc/02b53twnh3fx,typeOf,PowerPlant,
dc/dk2p9l3l8x1b6,typeOf,PowerPlant,
s2CellId/0x80982b0000000000,typeOf,S2CellLevel10,
s2CellId/0x3be7c90000000000,typeOf,S2CellLevel10,
